CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Variant_H12_FrontLoaded_Increasing,Mirror,0.1375,0.135417,0.00208333,True,1,0,0.225,0.461539,0.236539,FrontLoaded,Increasing,Variant
Variant_H16_AnchorLed_AccentedEnding,Intensify,0.324167,0.25,0.074167,False,1,1,0.5,0.583333,0.083333,AnchorLed,AccentedEnding,Variant
Variant_H16_AnchorLed_Flat,Fill,0.366667,0.239583,0.127084,False,1,1,0.65,0.652174,0.002174,AnchorLed,Flat,Variant
Variant_H16_AnchorLed_Increasing,Intensify,0.324167,0.270833,0.0533337,False,1,1,0.5,0.576923,0.076923,AnchorLed,Increasing,Variant
Variant_H16_BackLoaded_AccentedEnding,Intensify,0.324167,0.322917,0.00125033,False,1,1,0.5,0.774194,0.274194,BackLoaded,AccentedEnding,Variant
Variant_H16_BackLoaded_Flat,Intensify,0.336667,0.333333,0.00333367,False,1,1,0.55,0.75,0.2,BackLoaded,Flat,Variant
Variant_H16_BackLoaded_Increasing,Intensify,0.324167,0.322917,0.00125033,False,1,1,0.5,0.677419,0.177419,BackLoaded,Increasing,Variant
Variant_H16_Clustered_AccentedEnding,Contrast,0.179167,0.15625,0.022917,False,0,0,0.7,0.933333,0.233333,Clustered,AccentedEnding,Variant
Variant_H16_Clustered_Flat,Intensify,0.324167,0.270833,0.0533337,False,1,1,0.55,0.653846,0.103846,Clustered,Flat,Variant
Variant_H16_Clustered_Increasing,Intensify,0.324167,0.270833,0.0533337,False,1,1,0.55,0.653846,0.103846,Clustered,Increasing,Variant
Variant_H16_Even_AccentedEnding,Intensify,0.324167,0.322917,0.00125033,False,1,1,0.5,0.806452,0.306452,Even,AccentedEnding,Variant
Variant_H16_Even_Flat,Intensify,0.336667,0.333333,0.00333367,False,1,1,0.5,0.8125,0.3125,Even,Flat,Variant
Variant_H16_Even_Increasing,Intensify,0.324167,0.322917,0.00125033,False,1,1,0.5,0.741936,0.241936,Even,Increasing,Variant
Variant_H16_FrontLoaded_AccentedEnding,Intensify,0.324167,0.322917,0.00125033,False,1,1,0.5,0.709677,0.209677,FrontLoaded,AccentedEnding,Variant
Variant_H16_FrontLoaded_Flat,Intensify,0.336667,0.333333,0.00333367,False,1,1,0.5,0.65625,0.15625,FrontLoaded,Flat,Variant
Variant_H16_FrontLoaded_Increasing,Intensify,0.336667,0.333333,0.00333367,False,1,1,0.55,0.71875,0.16875,FrontLoaded,Increasing,Variant
Variant_H20_AnchorLed_AccentedEnding,Fill,0.408333,0.25,0.158333,False,1,1,0.65,0.625,0.025,AnchorLed,AccentedEnding,Variant
Variant_H20_AnchorLed_Flat,Intensify,0.353333,0.28125,0.072083,False,1,1,0.5,0.518519,0.018519,AnchorLed,Flat,Variant
Variant_H20_AnchorLed_Increasing,Intensify,0.340833,0.28125,0.059583,False,1,1,0.5,0.518519,0.018519,AnchorLed,Increasing,Variant
Variant_H20_BackLoaded_AccentedEnding,Intensify,0.340833,0.34375,0.002917,False,0.666667,0.666667,0.5,0.848485,0.348485,BackLoaded,AccentedEnding,Variant
Variant_H20_BackLoaded_Flat,Intensify,0.353333,0.354167,0.000833667,False,1,1,0.55,0.823529,0.273529,BackLoaded,Flat,Variant
Variant_H20_BackLoaded_Increasing,Intensify,0.340833,0.34375,0.002917,False,0.75,0.75,0.5,0.818182,0.318182,BackLoaded,Increasing,Variant
Variant_H20_Clustered_AccentedEnding,Contrast,0.220833,0.1875,0.033333,False,0,0,0.7,0.888889,0.188889,Clustered,AccentedEnding,Variant
Variant_H20_Clustered_Flat,Mirror,0.220833,0.21875,0.002083,False,1,1,0.275,0.380952,0.105952,Clustered,Flat,Variant
Variant_H20_Clustered_Increasing,Intensify,0.340833,0.291667,0.0491663,False,1,1,0.55,0.571429,0.021429,Clustered,Increasing,Variant
Variant_H20_Even_AccentedEnding,Intensify,0.340833,0.34375,0.002917,False,1,1,0.5,0.848485,0.348485,Even,AccentedEnding,Variant
Variant_H20_Even_Flat,Intensify,0.353333,0.354167,0.000833667,False,1,1,0.5,0.764706,0.264706,Even,Flat,Variant
Variant_H20_Even_Increasing,Intensify,0.340833,0.34375,0.002917,False,1,1,0.5,0.757576,0.257576,Even,Increasing,Variant
Variant_H20_FrontLoaded_AccentedEnding,Mirror,0.220833,0.21875,0.002083,True,1,0,0.225,0.476191,0.251191,FrontLoaded,AccentedEnding,Variant
Variant_H20_FrontLoaded_Flat,Intensify,0.353333,0.354167,0.000833667,False,1,1,0.5,0.764706,0.264706,FrontLoaded,Flat,Variant
Variant_H20_FrontLoaded_Increasing,Mirror,0.220833,0.21875,0.002083,True,1,0,0.225,0.380952,0.155952,FrontLoaded,Increasing,Variant
Variant_H24_AnchorLed_AccentedEnding,Fill,0.45,0.302083,0.147917,False,1,1,0.65,0.655172,0.005172,AnchorLed,AccentedEnding,Variant
Variant_H24_AnchorLed_Flat,Intensify,0.395,0.333333,0.0616667,False,1,1,0.5,0.46875,0.03125,AnchorLed,Flat,Variant
Variant_H24_AnchorLed_Increasing,Fill,0.45,0.291667,0.158333,False,1,1,0.65,0.642857,0.007143,AnchorLed,Increasing,Variant
Variant_H24_BackLoaded_AccentedEnding,Intensify,0.3825,0.385417,0.00291667,False,0.666667,0.666667,0.5,0.810811,0.310811,BackLoaded,AccentedEnding,Variant
Variant_H24_BackLoaded_Flat,Fill,0.45,0.447917,0.00208333,False,1,1,0.65,0.953488,0.303488,BackLoaded,Flat,Variant
Variant_H24_BackLoaded_Increasing,Intensify,0.3825,0.385417,0.00291667,False,0.666667,0.666667,0.5,0.837838,0.337838,BackLoaded,Increasing,Variant
Variant_H24_Clustered_AccentedEnding,Fill,0.45,0.34375,0.10625,False,1,1,0.7,0.69697,0.00303,Clustered,AccentedEnding,Variant
Variant_H24_Clustered_Flat,Intensify,0.395,0.333333,0.0616667,False,1,1,0.55,0.53125,0.01875,Clustered,Flat,Variant
Variant_H24_Clustered_Increasing,Fill,0.45,0.322917,0.127083,False,0,0,0.7,0.677419,0.022581,Clustered,Increasing,Variant
Variant_H24_Even_AccentedEnding,Intensify,0.3825,0.385417,0.00291667,False,1,1,0.5,0.675676,0.175676,Even,AccentedEnding,Variant
Variant_H24_Even_Flat,Intensify,0.395,0.395833,0.000833333,False,1,1,0.5,0.789474,0.289474,Even,Flat,Variant
Variant_H24_Even_Increasing,Intensify,0.3825,0.385417,0.00291667,False,1,1,0.5,0.675676,0.175676,Even,Increasing,Variant
Variant_H24_FrontLoaded_AccentedEnding,Intensify,0.3825,0.385417,0.00291667,False,1,1,0.5,0.756757,0.256757,FrontLoaded,AccentedEnding,Variant
Variant_H24_FrontLoaded_Flat,Intensify,0.395,0.395833,0.000833333,False,1,1,0.5,0.789474,0.289474,FrontLoaded,Flat,Variant
Variant_H24_FrontLoaded_Increasing,Intensify,0.3825,0.385417,0.00291667,False,1,1,0.55,0.783784,0.233784,FrontLoaded,Increasing,Variant
Variant_H28_AnchorLed_AccentedEnding,Fill,0.491667,0.302083,0.189584,False,1,1,0.65,0.62069,0.02931,AnchorLed,AccentedEnding,Variant
Variant_H28_AnchorLed_Flat,Intensify,0.436667,0.364583,0.0720837,False,1,1,0.5,0.485714,0.014286,AnchorLed,Flat,Variant
